number,country,city,location,address,latitude,longitude
139,Franța,Paris,Institut cultural român,"1 Rue de l`Exposition, 75007  Paris",48.85799025,2.30300792
140,Franța,Paris,Institut cultural român,"1 Rue de l`Exposition, 75007  Paris",48.85799025,2.30300792
141,Franța,Rungis,Altele,"Hôtel Mercure Paris Orly Rungis  Aéroport, 20 Avenue Charles  Lindbergh, 94150 Rungis",48.75680593,2.34633461
142,Franța,Issy-les-Moulineaux,Altele,"Salle municipale Micheline  Ostermeyer, Promenade du  Cœur de Ville, 92130 Issy-lesMoulineaux",48.82513691,2.27546255
143,Franța,Rueil-Malmaison,Altele,"Turul I: Atrium Salle des Fêtes,  81 Rue des Bons Raisins, 92500  Rueil-Malmaison  Turul II: Salle La Passerelle,  13-15 rue Becquerel, 92500  Rueil-Malmaison",48.87181522,2.20107574
144,Franța,Drancy,Altele,"Salle Paul Vaillant Couturier, 27  Rue Roger Petieu - bâtiment C - Esc F, 93700 Drancy",48.92334484,2.4481135
145,Franța,La Courneuve,Altele,"Salle Philippe Roux, 58 Rue de la Convention, 93120 La Courneuve",48.91692857,2.45680557
146,Franța,Le Blanc-Mesnil,Altele,"Centre Technique Municipal, 2  Avenue Albert Einstein, 93150  Le Blanc-Mesnil",48.92703754,2.39278975
147,Franța,Le Blanc-Mesnil,Altele,"Centre Technique Municipal, 2  Avenue Albert Einstein, 93150  Le Blanc-Mesnil",48.92703754,2.39278975
148,Franța,Le Blanc-Mesnil,Altele,"Centre Technique Municipal, 2  Avenue Albert Einstein, 93150  Le Blanc-Mesnil",48.92703754,2.39278975
149,Franța,Montreuil,Altele,"Sala Centrului cultural Ștefan cel  Mare – 27 Rue de Roches,  93100 Montreuil",48.94731039,2.46761029
150,Franța,Montreuil,Altele,"Salle Franklin, 60 Rue Franklin 93100 Montreuil",48.86347363,2.44430382
151,Franța,Pantin,Altele,"Salle André Breton, 25 Rue du Pré Saint Gervais 93500 Pantin",48.89021399,2.4033162
152,Franța,Bry-sur-Marne,Altele,"31-33 Rue des Clotais, 94360  Bry-sur-Marne",48.89025295,2.40330796
153,Franța,Melun,Altele,"Maison des Associations Jean  XXIII, 27 Rue Edmond  Michelet, 77000 Melun",48.54920882,2.65324471
154,Franța,Brest,Altele,"Salle Pierre Corre, 8 rue Pierre Corre, 29200 Brest",48.41401468,-4.49261149
155,Franța,Trappes,Altele,"Maison de la Boissière, 28 Rue du Centre, 78190 Trappes",48.77132,1.98045
156,Franța,Le Mans,Altele,"Maison de Quartier Jean-Ferrat,  115 Rue des Sablons, 72100 Le Mans",48.39096246,-4.49034608
157,Franța,Calais,Altele,"Salle Municipale Paul Caron - petite salle, 2 Rue du Général Margueritte, 62100 Calais",48.77133002,1.98045526
158,Franța,Bordeaux,Altele,"Turul I - Salle Nicole Vanrast,  250 Rue Malbec, 33800  Bordeaux  Turul II - Chartreuse SaintAndré, 194 Avenue du  Maréchal-De-Lattre de Tassigny,  33200 Bordeaux",44.85520385,-0.61517374
159,Franța,Pessac,Altele,"Salle du Petit Foyer, 9 Rue des Poilus, 33600 Pessac",44.80534059,-0.63179686
160,Franța,Caen,Altele,"Turul I - Maison de Quartier Centre, 9 Rue Neuve Bourg l’Abbé, 14000 Caen  Turul II - Maison de Quartier de  la Grâce de Dieu, Place du Commerce, 14000 Caen",49.18140511,-0.37893818
161,Franța,Lille,Altele,"Conseil Régional Hauts-deFrance, 151 Av. du Président Hoover, 59000 Lille",50.62915075,3.07853469
162,Franța,Lille,Altele,"Conseil Régional Hauts-deFrance, 151 Av. du Président Hoover, 59000 Lille",50.62919159,3.07857358
163,Franța,Loudéac,Altele,"Bâtiment la Providence, Salle n°  3, 36 Rue de Moncontour, 22600 Loudéac",50.6347318,3.08079479
164,Franța,Rennes,Altele,"Le Triangle - Cité de la danse,  Boulevard de Yougoslavie,  35200 Rennes",48.08860713,-1.65941096
165,Franța,Nantes,Altele,"Centre d`affaires Nuage B Nantes, Immeuble Kanoa, 6 Rue René Viviani, 44200 Nantes",47.2074322,-1.53625269
166,Franța,Saint-Herblain,Altele,"Carré des services, 15 Rue d’Arras, 44800 Saint-Herblain",47.2126322,-1.6090215
167,Franța,Troyes,Altele,"Maison de Quartier des Marots,  Salle Les Marots de Pouilly, 23  Rue Trouvassot, 10000 Troyes",48.30784734,4.04976961
168,Franța,Aulnay-sous-Bois,Altele,"Foyer Dumont, 12 Boulevard  Gallieni, 93600 Aulnay-sous- Bois",48.9309567,2.49570312
169,Franța,Aulnay-sous-Bois,Altele,"Foyer Dumont, 12 Boulevard  Gallieni, 93600 Aulnay-sous- Bois",48.93090916,2.49547331
170,Franța,Gagny,Altele,"Club Paul Éluard, 18bis Allée des Chênes, 93220 Gagny",48.89481703,2.53854753
171,Franța,Villeneuve-Saint Georges,Altele,"Maison pour tous, Rue des  Chênes, 94190 Villeneuve-Saint- Georges",48.73559055,2.46131727
172,Franța,Champigny-sur-Marne,Altele,"Salle Georges Seguy, Maison des Associations, 191 Rue de  Verdun, 94500 Champigny-surMarne",48.81323566,2.50702486
173,Franța,Villemomble,Altele,"Médiathèque Robert Calméjane,  Salle Mermoz, 118 Grande Rue,  93250 Villemomble",48.88249496,2.51664893
174,Franța,Tours,Altele,"Salle du Parvis, 7 Rue Toulouse Lautrec, 37000 Tours",47.34100378,0.63854705
175,Franța,Saran,Altele,"Hôtel Campanile Orléans Nord - Saran, 744 Route Nationale 20, Saran 45770",47.94456929,1.8933834
176,Franța,Ivry-sur-Seine,Altele,"Espace Robespierre, 2 Rue  Robespierre, 94200 Ivry-sur- Seine",47.37663099,0.69625704
177,Franța,Rouen,Altele,"Maison de Quartier Cavelier de  la Salle, 1 Rue Pierre Forfait, 76100 Rouen",49.43719245,1.08184256
178,Franța,La Ferté-sous-Jouarre,Altele,"10 Allée du Jumelage, 77260 La  Ferté-sous-Jouarre",48.81089963,2.3835643
179,Franța,Beauvais,Altele,"98 Rue de Notre Dame du Thil,  60000 Beauvais",49.4455806,2.080075
180,Franța,Poissy,Altele,"Hôtel Restaurant L`Esturgeon, 6  Cours du 14 Juillet, 78300 Poissy",48.93293629,2.03771906
181,Franța,Poitiers,Altele,17 Rue Salvador Allende 86000  Poitiers,46.5813498,0.3728397
182,Principatul Monaco,Monaco,Altele,"Hôtel Le Méridien Beach  Plaza, 22 Avenue Princesse  Grâce, 98000 Monte Carlo,  Monaco",43.74834,7.43583
183,Franța,Lyon,Consulat general,"29 rue de Bonnel, 69003 Lyon",45.76196,4.8461
184,Franța,Lyon,Altele,"111 rue Smith, 69002 Lyon",45.74033,4.82051
185,Franța,Saint Genis Laval,Altele,"12 place des Collonges, 69230  Saint-Genis-Laval",45.69287,4.80355
186,Franța,Saint Etienne,Altele,"4 rue Andre Malraux, 42000  Saint-Etienne",45.43982711,4.38516037
187,Franța,Dijon,Altele,"40 rue Léonard de Vinci, 21000  Dijon",47.30342433,5.01055079
188,Franța,Clermont Ferrand,Altele,"120 avenue de la Republique,  63000 Clermont-Ferrand",45.78877,3.10912
