"Level1","Level2","Level3","Level4","Level5","Nationals","ForeignResidents","Address"
"3C",,,,,3,,"Colegio La Salle - Tucumán 1901"
"3C",,,,,3,,"Inst. San Luis Gonzaga - Tte. Gral. J. D. Perón s/n y Ayacucho"
"3C",,,,,4,,"Polideportivo Cangallo Schule - Tte. Gral J. D. Perón 1953 / 1955"
"3C",,,,,4,,"Colegio Santo Tomás de Aquino - Tte. Gral. J. D. Perón 1862"
"3C",,,,,4,4,"UNA - Dpto. de Crítica de Artes - Bme. Mitre 1869 / 1889"
"3A",,,,,12,,"Esc. Nº16 ""Pte. Mitre"" - Sarmiento 2832"
"3A",,,,,5,8,"Esc. Nº 6 ""Gral. Martín Rodríguez"" - Dr. T. M. de Anchorena 441"
"3A",,,,,7,,"Colegio Nº5 ""Bartolomé Mitre"" - Valentín Gómez 3163"
"3A",,,,,4,6,"Parque de la Estación - Escuela Abierta - Tte. Gral. J. D. Perón 3326"
"3C",,,,,7,6,"Esc. Cangallo Schule - Tte. Gral J. D. Perón 2169 / 2151"
"3C",,,,,4,8,"UBA - Centro de Idiomas - Junín 224"
"3C",,,,,3,,"Centro Galicia de Buenos Aires - Bartolomé Mitre 2552"
"3C",,,,,9,,"Esc. Nº14 ""Cornelio Saavedra"" - Sarmiento 2250"
"3C",,,,,4,,"Inst. Argentino Gallego Santiago Apostol - Paso 51"
"3C",,,,,3,,"Polideportivo Paula Montal - Bartolomé Mitre 2232"
"3C",,,,,9,5,"Colegio San José - Bartolomé Mitre 2455"
"3A",,,,,4,6,"UBA - Facultad de Psicología - Hipólito Yrigoyen 3242"
"3A",,,,,7,6,"Inst. Arcángel San Miguel - Dr. T. M. de Anchorena 41"
"3A",,,,,12,,"Esc. Nº2 ""Mariano Acosta"" - Gral. Urquiza 277"
"3A",,,,,8,,"Esc. N.º13 “Gral M. Zapiola” - Gral. Urquiza 229"
"3A",,,,,4,,"Esc. Infantil Nº6 - Catamarca 342"
"3A",,,,,5,7,"Esc. Nº5 ""Paul Groussac"" - Catamarca 462"
"3A",,,,,6,,"Esc. Nº12 ""Rep. del Paraguay"" - Agrelo 3231"
"3A",,,,,5,,"Inst. 9 de Julio - La Rioja 660"
"3A",,,,,3,,"Jardin de Infantes Nº11 - Venezuela 3269"
"3B",,,,,5,,"UBA -  Facultad de Psicología - Av. Independencia 3065"
"3A",,,,,6,,"Liceo Nº10 ""Ricardo Rojas"" - Av. Jujuy 150"
"3C",,,,,3,3,"Círculo de Suboficiales de la PFA - Av. Belgrano 2584"
"3B",,,,,9,,"Esc.Nº25 ""Tte.1 de Artillería F. L. Beltran"" - Av. Jujuy 780"
"3B",,,,,12,6,"Esc. Nº6 ""Dr. Guillermo Correa"" - Saavedra 695"
"3C",,,,,11,8,"Esc. Nº15 ""Narciso de Laprida"" - México 2383"
"3C",,,,,9,,"Esc. Nº34 ""Monseñor M. D'Andrea"" - Moreno 2135"
"3C",,,,,10,,"Esc. Nº9 ""Mariano Moreno"" - Moreno 2104 / Rincón s/n"
"3C",,,,,5,2,"Colegio Proyecto Sur - Adolfo Alsina 2185"
"3C",,,,,4,,"Colegio Isabel Conde de Hernández - Moreno 1859"
"3C",,,,,7,,"Inst. Don Orione - Hipólito Yrigoyen 2074"
"3B",,,,,8,,"Colegio Euskal Echea – Gimnasio - Chile 2054 / 2056"
"3B",,,,,9,7,"Esc. Nº5 ""José de San Martín"" - Av. Entre Ríos 751"
"3B",,,,,3,2,"Colegio Euskal Echea -  Jardín de Infantes - Chile 2018"
"3C",,,,,5,,"Biblioteca del Congreso de la Nación - Adolfo Alsina 1835"
"3B",,,,,5,5,"Inst. Santa Cruz - 24 de Noviembre 950"
"3B",,,,,6,,"Esc. Nº11 ""José Federico Moreno"" - Humberto I 3171"
"3B",,,,,3,,"Esc. Nº15 ""Luis Chinetti"" - Estados Unidos 3141 /  P. Bernardo  876"
"3B",,,,,4,,"Esc. Nº7 ""Olegario V. Andrade"" - 24 de Noviembre 1536"
"3B",,,,,5,,"Esc. Nº8 ""Pte. Julio A. Roca"" – Primario - Carlos Calvo 3150"
"3B",,,,,4,,"Esc. Nº9 ""Dr. Luis R. Mc. Kay"" - Carlos Calvo 3176"
"3B",,,,,9,,"Esc. Nº3 ""Rufino Sánchez "" - La Rioja 850"
"3B",,,,,7,,"Esc. Nº8 ""Pte. Julio A. Roca"" – Secundario - La Rioja 1042"
"3B",,,,,8,,"Esc. Nº17 ""Luis José Chorroarín"" - Carlos Calvo 2827"
"3B",,,,,8,,"Inst. San Cristóbal - Av. Jujuy 1241 / s/n"
"3B",,,,,4,6,"Esc. Nº10 ""Francisco de Gurruchaga"" - Av. Jujuy 1471"
"3B",,,,,8,6,"Esc. Nº11 ""Manuel Belgrano"" - Cochabamba 2830"
"3B",,,,,3,,"Esc. Nueva Esperanza - Av. Juan de Garay 2715 / s/n"
"3B",,,,,4,,"Jardín de Infantes Nº1 ""José de San Martín"" - Humberto I 2861"
"3B",,,,,7,6,"Esc. Nº25 ""Gervasio Posadas"" - Av. San Juan 2277"
"3B",,,,,10,,"Esc. Nº21 ""Carlos Pellegrini"" - Av. Entre Ríos 1341"
"3B",,,,,10,,"Esc. Nº22 ""Carlos Pellegrini"" - Av. Entre Ríos 1359"
"3B",,,,,9,,"Esc. Nº23 ""Gral. Viamonte"" - Pasco 961"
"3B",,,,,8,4,"Inst. Ntra. Sra. del Huerto - Av. Independencia 2140"
"4A",,,,,14,,"Inst. Félix F. Bernasconi - Catulo Castillo 2750"
"4A",,,,,13,6,"Inst. Ntra. Sra. de Luján - Rondeau 2624"
"4A",,,,,7,,"Esc. Nº26 ""Brigadier M. de Azcuénaga"" - Pichincha 1873"
"4A",,,,,6,,"Esc. Nº11 ""Ricardo Levene"" - Dean Funes 1821"
"4A",,,,,5,,"Inst. San Vicente de Paul - 24 de Noviembre 1665"
"4A",,,,,7,,"Esc. Nº2 ""José María Gutiérrez"" - La Rioja 1846"
"4A",,,,,4,4,"Club Bristol - La Rioja 1869"
"4A",,,,,4,,"Club Atlético Huracán - Av. Caseros 3159"
"4A",,,,,4,5,"Esc. Nº2 ""Patricios"" - Av. Almafuerte 66"
"4A",,,,,3,,"Esc. Nº19 ""Pcia. de Formosa"" - Elia 473"
"4A",,,,,4,,"Club Atletico Piraña - Elia 678"
"4A",,,,,3,,"Jardín de infantes N°18 - Uspallata 3325"
"4A",,,,,3,,"C.B.O. Nº1 Evita - Los Patos 3080"
"4A",,,,,4,,"Esc. Nº28 ""Argentina China"" - Los Patos 3042 / s/n"
